time,value
1606388944.0,0.0
1606390744.0,0.0
1606391292.0,0.0
1606392544.0,0.0
1606394343.0,0.0
1606396143.0,0.0
1606397942.0,0.0
1606399742.0,0.0
1606401542.0,0.0
1606403341.0,0.0
1606405141.0,0.0
1606405307.0,0.0
1606405309.0,0.0
1606408740.0,0.0
1606410539.0,0.0
1606412339.0,0.0
1606414139.0,0.0
1606417738.0,0.0
1606419537.0,0.0
1606421337.0,0.0
1606423137.0,0.0
1606424936.0,0.0
1606426736.0,0.0
1606428535.0,0.0
1606430335.0,0.0
1606432134.0,0.0
1606433934.0,0.0
1606435734.0,0.0
1606437533.0,0.0
1606439333.0,0.0
1606441132.0,0.0
1606442932.0,0.0
1606444732.0,0.0
1606446531.0,0.0
1606448331.0,0.0
1606450130.0,0.0
1606451930.0,0.0
1606453730.0,0.0
1606455529.0,0.0
1606457329.0,0.0
1606459128.0,0.0
1606460928.0,0.0
1606462727.0,0.0
1606464527.0,0.0
1606466327.0,0.0
1606468126.0,0.0
1606469926.0,0.0
1606471725.0,0.0
1606473525.0,0.0
1606475324.0,0.0
1606477124.0,0.0
1606478924.0,0.0
1606480723.0,0.0
1606482523.0,0.0
1606484322.0,0.0
1606486122.0,0.0
1606489721.0,0.0
1606491521.0,0.0
1606493320.0,0.0
1606495120.0,0.0
1606496919.0,0.0
1606498719.0,0.0
1606500519.0,0.0
1606504118.0,0.0
1606505917.0,0.0
1606507717.0,0.0
1606509516.0,0.0
1606511316.0,0.0
1606513116.0,0.0
1606514915.0,0.0
1606518514.0,0.0
1606520314.0,0.0
1606522113.0,0.0
1606523913.0,0.0
1606525713.0,0.0
1606527512.0,0.0
1606529312.0,0.0
1606531112.0,0.0
1606532911.0,0.0
1606534711.0,0.0
1606536510.0,0.0
1606538310.0,0.0
1606540109.0,0.0
1606541909.0,0.0
1606543708.0,0.0
1606545508.0,0.0
1606547308.0,0.0
1606549107.0,0.0
1606554506.0,0.0
1606556306.0,0.0
1606558105.0,0.0
1606559905.0,0.0
1606561704.0,0.0
1606563504.0,0.0
1606565303.0,0.0
1606568903.0,0.0
1606570702.0,0.0
1606572502.0,0.0
1606576101.0,0.0
1606579700.0,0.0
1606581500.0,0.0
1606583299.0,0.0
1606585099.0,0.0
1606588698.0,0.0
1606590498.0,0.0
1606592297.0,0.0
1606594097.0,0.0
1606595896.0,0.0
1606597696.0,0.0
1606599495.0,0.0
1606603094.0,0.0
1606604894.0,0.0
1606606694.0,0.0
1606608493.0,0.0
1606610293.0,0.0
1606612093.0,0.0
1606613892.0,0.0
1606615692.0,0.0
1606617491.0,0.0
1606619291.0,0.0
1606621090.0,0.0
1606622890.0,0.0
1606624689.0,0.0
1606626489.0,0.0
1606628289.0,0.0
1606630088.0,0.0
1606631888.0,0.0
1606633687.0,0.0
1606635487.0,0.0
1606639086.0,0.0
1606640886.0,0.0
1606642685.0,0.0
1606644485.0,0.0
1606648084.0,0.0
1606651683.0,0.0
1606653483.0,0.0
1606655282.0,0.0
1606657082.0,0.0
1606660681.0,0.0
1606662481.0,0.0
1606664280.0,0.0
1606666080.0,0.0
1606667880.0,0.0
1606669679.0,0.0
1606671479.0,0.0
1606673278.0,0.0
1606675078.0,0.0
1606676877.0,0.0
1606678677.0,0.0
1606680477.0,0.0
1606682276.0,0.0
1606684076.0,0.0
1606685875.0,0.0
1606687675.0,0.0
1606691274.0,0.0
1606693074.0,0.0
1606694873.0,0.0
1606696673.0,0.0
1606698472.0,1.0
1606700272.0,1.0
1606702072.0,1.0
1606705671.0,1.0
1606707470.0,1.0
1606709270.0,1.0
1606711070.0,1.0
1606712869.0,2.0
1606714669.0,2.0
1606716468.0,2.0
1606718268.0,2.0
1606720067.0,2.0
1606721867.0,2.0
1606723667.0,2.0
1606725466.0,2.0
1606727266.0,2.0
1606729065.0,3.0
1606732665.0,2.0
1606734464.0,2.0
1606736264.0,2.0
1606739863.0,3.0
1606743462.0,3.0
1606745262.0,3.0
1606747061.0,3.0
1606748861.0,3.0
1606750661.0,4.0
1606755356.0,4.0
1606756059.0,4.0
1606757859.0,4.0
1606761458.0,4.0
1606763258.0,4.0
1606765057.0,4.0
1606766857.0,4.0
1606768656.0,4.0
1606770456.0,5.0
1606772256.0,5.0
1606774055.0,5.0
1606775855.0,5.0
1606777654.0,5.0
1606779454.0,5.0
1606781253.0,5.0
1606783053.0,5.0
1606784853.0,6.0
1606786652.0,6.0
1606788452.0,6.0
1606790251.0,6.0
1606792051.0,7.0
1606793852.0,6.0
1606795651.0,6.0
1606797451.0,6.0
1606799250.0,7.0
1606801050.0,7.0
1606802850.0,7.0
1606806449.0,7.0
1606808248.0,7.0
1606810048.0,7.0
1606811847.0,7.0
1606813647.0,7.0
1606815447.0,7.0
1606817246.0,7.0
1606819046.0,8.0
1606820845.0,8.0
1606822645.0,8.0
1606824445.0,8.0
1606826244.0,8.0
1606829843.0,8.0
1606831643.0,8.0
1606833443.0,8.0
1606835242.0,8.0
1606837042.0,8.0
1606838841.0,8.0
1606840641.0,8.0
1606842440.0,8.0
1606844240.0,8.0
1606846040.0,8.0
1606847839.0,8.0
1606849639.0,8.0
1606851438.0,8.0
1606855038.0,9.0
1606856837.0,9.0
1606858637.0,9.0
1606860436.0,9.0
1606862236.0,9.0
1606864034.0,9.0
1606865835.0,9.0
1606867634.0,9.0
1606869433.0,9.0
1606871233.0,9.0
1606873033.0,9.0
1606874833.0,9.0
1606876632.0,9.0
1606878431.0,9.0
1606880231.0,9.0
1606882030.0,9.0
1606883830.0,9.0
1606885630.0,9.0
1606887429.0,9.0
1606889229.0,9.0
1606892828.0,9.0
1606894628.0,9.0
1606896427.0,9.0
1606900026.0,9.0
1606901827.0,9.0
1606903626.0,9.0
1606905425.0,9.0
1606907225.0,9.0
1606909024.0,9.0
1606910824.0,9.0
1606914423.0,9.0
1606916222.0,9.0
1606918022.0,9.0
1606919822.0,10.0
1606921621.0,10.0
1606923421.0,10.0
1606925220.0,10.0
1606927020.0,10.0
1606928819.0,10.0
1606930619.0,10.0
1606932419.0,10.0
1606936018.0,10.0
1606937818.0,10.0
1606939618.0,10.0
1606941416.0,10.0
1606943217.0,10.0
1606945016.0,10.0
1606946815.0,10.0
1606948615.0,10.0
1606950414.0,10.0
1606952214.0,10.0
1606954014.0,10.0
1606955814.0,10.0
1606957614.0,10.0
1606959412.0,10.0
1606961213.0,10.0
1606963012.0,10.0
1606964811.0,10.0
1606966611.0,10.0
1606968410.0,10.0
1606970210.0,10.0
1606972009.0,10.0
1606973809.0,10.0
1606975609.0,10.0
1606979208.0,10.0
1606981007.0,10.0
1606982807.0,10.0
1606984607.0,10.0
1606986406.0,10.0
1606988206.0,10.0
1606990006.0,10.0
1606991805.0,10.0
1606993605.0,10.0
1606995405.0,10.0
1606997205.0,10.0
1606999004.0,10.0
1607000804.0,10.0
1607002603.0,10.0
1607004403.0,10.0
1607006203.0,10.0
1607008002.0,10.0
1607009802.0,10.0
1607011601.0,10.0
1607011801.0,10.0
1607012600.0,
1607013401.0,10.0
1607013662.0,
1607013795.0,
1607014519.0,
1607016982.0,
1607017524.0,
