time,value
1618832972.0,
1618832972.0,
1618833013.0,198.0
1618834213.0,198.0
1618835413.0,198.0
1618836613.0,199.0
1618837812.0,199.0
1618839013.0,199.0
1618840213.0,199.0
1618841413.0,199.0
1618842614.0,199.0
1618843813.0,200.0
1618845012.0,200.0
1618846212.0,200.0
1618847413.0,200.0
1618848613.0,200.0
1618849813.0,200.0
1618851013.0,200.0
1618852212.0,200.0
1618853413.0,201.0
1618854613.0,201.0
1618855813.0,201.0
1618857013.0,201.0
1618858213.0,201.0
1618859413.0,201.0
1618860614.0,201.0
1618861813.0,201.0
1618863013.0,201.0
1618864213.0,201.0
1618865413.0,201.0
1618866613.0,201.0
1618867813.0,201.0
1618869013.0,201.0
1618870213.0,201.0
1618872613.0,201.0
1618873813.0,201.0
1618875013.0,201.0
1618876213.0,201.0
1618877413.0,201.0
1618878613.0,201.0
1618879813.0,201.0
1618881013.0,201.0
1618882213.0,201.0
1618883413.0,201.0
1618884613.0,201.0
1618885813.0,201.0
1618887013.0,201.0
1618888213.0,201.0
1618889413.0,201.0
1618890613.0,201.0
1618891813.0,201.0
1618893013.0,201.0
1618894213.0,201.0
1618895413.0,201.0
1618896614.0,201.0
1618897813.0,201.0
1618899013.0,201.0
1618900214.0,201.0
1618901414.0,201.0
1618902613.0,176.0
1618903815.0,177.0
1618905014.0,178.0
1618906214.0,179.0
1618907414.0,179.0
1618908614.0,180.0
1618909814.0,180.0
1618911014.0,180.0
1618912214.0,181.0
1618913414.0,181.0
1618914614.0,181.0
1618915814.0,182.0
1618917014.0,182.0
1618918214.0,182.0
1618919414.0,183.0
1618920614.0,183.0
1618921814.0,183.0
1618923014.0,184.0
1618924214.0,184.0
1618925414.0,184.0
1618926614.0,185.0
1618927814.0,185.0
1618929014.0,185.0
1618930215.0,186.0
1618931414.0,186.0
1618932614.0,186.0
1618933814.0,186.0
1618935014.0,187.0
1618936214.0,187.0
1618937414.0,187.0
1618938615.0,187.0
1618941014.0,188.0
1618942214.0,188.0
1618943415.0,188.0
1618944614.0,188.0
1618945814.0,188.0
1618947014.0,188.0
1618948215.0,188.0
1618949414.0,189.0
1618950614.0,189.0
1618951814.0,189.0
1618954215.0,189.0
1618955415.0,189.0
1618956615.0,189.0
1618957815.0,189.0
1618959015.0,189.0
1618960215.0,189.0
1618961415.0,189.0
1618962615.0,190.0
1618963815.0,190.0
1618965016.0,190.0
1618966215.0,190.0
1618967415.0,190.0
1618968615.0,190.0
1618969815.0,190.0
1618971015.0,190.0
1618972215.0,190.0
1618973415.0,190.0
1618974615.0,190.0
1618975815.0,190.0
1618977015.0,190.0
1618978215.0,190.0
1618979415.0,190.0
1618980615.0,190.0
1618981815.0,191.0
1618983015.0,191.0
1618984215.0,191.0
1618985415.0,191.0
1618986615.0,191.0
1618987815.0,191.0
1618989015.0,191.0
1618990215.0,191.0
1618991416.0,191.0
1618992616.0,191.0
1618993816.0,191.0
1618995016.0,191.0
1618996216.0,191.0
1618997416.0,192.0
1618998616.0,192.0
1618999817.0,192.0
1619001016.0,192.0
1619003416.0,192.0
1619004616.0,192.0
1619005816.0,192.0
1619007016.0,193.0
1619007016.0,193.0
1619008217.0,193.0
1619008217.0,193.0
1619009416.0,193.0
1619009416.0,193.0
1619010616.0,193.0
1619010616.0,193.0
1619011817.0,193.0
1619011817.0,193.0
1619013017.0,194.0
1619013017.0,194.0
1619014216.0,194.0
1619014216.0,194.0
1619015416.0,194.0
1619015416.0,194.0
1619016616.0,194.0
1619016616.0,194.0
1619017816.0,194.0
1619017816.0,194.0
1619019016.0,195.0
1619019016.0,195.0
1619020216.0,195.0
1619020216.0,195.0
1619021416.0,195.0
1619021416.0,195.0
1619022616.0,195.0
1619022616.0,195.0
1619023816.0,195.0
1619023816.0,195.0
1619025016.0,195.0
1619025016.0,195.0
1619026216.0,196.0
1619026216.0,196.0
1619027417.0,196.0
1619027417.0,196.0
1619028616.0,196.0
1619028616.0,196.0
1619029816.0,196.0
1619029816.0,196.0
1619031016.0,196.0
1619031016.0,196.0
1619032216.0,196.0
1619032216.0,196.0
1619033416.0,196.0
1619033416.0,196.0
1619034616.0,196.0
1619034616.0,196.0
1619035816.0,196.0
1619035816.0,196.0
1619037016.0,196.0
1619037016.0,196.0
1619038216.0,196.0
1619038216.0,196.0
1619039416.0,196.0
1619039416.0,196.0
1619040616.0,196.0
1619040616.0,196.0
1619041816.0,196.0
1619041816.0,196.0
1619043016.0,196.0
1619043016.0,196.0
1619044216.0,196.0
1619044216.0,196.0
1619045416.0,196.0
1619045416.0,196.0
1619046616.0,196.0
1619046616.0,196.0
1619047816.0,196.0
1619047816.0,196.0
1619049016.0,196.0
1619049016.0,196.0
1619050216.0,196.0
1619050216.0,196.0
1619051416.0,196.0
1619051416.0,196.0
1619052616.0,196.0
1619052616.0,196.0
1619053816.0,196.0
1619053816.0,196.0
1619055017.0,196.0
1619055017.0,196.0
1619056217.0,196.0
1619056217.0,196.0
1619057417.0,196.0
1619057417.0,196.0
1619058617.0,196.0
1619058617.0,196.0
1619059817.0,197.0
1619059817.0,197.0
1619061017.0,197.0
1619061017.0,197.0
1619062217.0,197.0
1619062217.0,197.0
1619063417.0,197.0
1619063417.0,197.0
1619065817.0,197.0
1619065817.0,197.0
1619067017.0,197.0
1619067017.0,197.0
1619068217.0,196.0
