time,value
1618832972.0,
1618832972.0,
1618833619.0,207.0
1618834818.0,207.0
1618836018.0,207.0
1618837218.0,207.0
1618838418.0,207.0
1618839618.0,207.0
1618840818.0,207.0
1618842019.0,207.0
1618843218.0,207.0
1618844418.0,207.0
1618845618.0,207.0
1618846818.0,207.0
1618848018.0,207.0
1618849218.0,207.0
1618850419.0,207.0
1618851619.0,207.0
1618852818.0,207.0
1618854019.0,207.0
1618855219.0,207.0
1618856419.0,207.0
1618857619.0,207.0
1618858819.0,207.0
1618860019.0,207.0
1618861218.0,207.0
1618862419.0,207.0
1618863618.0,207.0
1618864819.0,207.0
1618866019.0,207.0
1618867220.0,207.0
1618868419.0,207.0
1618869619.0,207.0
1618870819.0,207.0
1618872019.0,207.0
1618873219.0,207.0
1618874419.0,207.0
1618875619.0,207.0
1618876818.0,207.0
1618878019.0,207.0
1618879219.0,207.0
1618880419.0,207.0
1618881619.0,207.0
1618882819.0,207.0
1618884020.0,207.0
1618885219.0,207.0
1618886419.0,207.0
1618887619.0,207.0
1618888819.0,207.0
1618890019.0,207.0
1618891219.0,207.0
1618892420.0,207.0
1618893619.0,207.0
1618894820.0,207.0
1618896019.0,207.0
1618897220.0,207.0
1618899620.0,206.0
1618900820.0,206.0
1618902021.0,206.0
1618903220.0,206.0
1618904420.0,206.0
1618905620.0,206.0
1618906820.0,205.0
1618909220.0,205.0
1618910420.0,205.0
1618911621.0,205.0
1618912820.0,205.0
1618914021.0,205.0
1618915220.0,205.0
1618916420.0,205.0
1618917621.0,205.0
1618918820.0,205.0
1618920021.0,205.0
1618921221.0,205.0
1618922420.0,205.0
1618923620.0,205.0
1618924820.0,205.0
1618926020.0,205.0
1618927220.0,205.0
1618928420.0,205.0
1618929621.0,205.0
1618930820.0,205.0
1618932020.0,205.0
1618933220.0,205.0
1618934420.0,205.0
1618935621.0,205.0
1618936820.0,205.0
1618938021.0,205.0
1618939220.0,205.0
1618940420.0,205.0
1618941621.0,205.0
1618942820.0,205.0
1618944020.0,206.0
1618945221.0,206.0
1618946422.0,206.0
1618947621.0,206.0
1618948821.0,206.0
1618950021.0,206.0
1618951221.0,206.0
1618952421.0,206.0
1618953621.0,206.0
1618954821.0,206.0
1618956021.0,206.0
1618957221.0,206.0
1618958422.0,206.0
1618959621.0,206.0
1618960821.0,206.0
1618962022.0,206.0
1618963221.0,206.0
1618964421.0,206.0
1618965621.0,206.0
1618966821.0,206.0
1618968021.0,206.0
1618969221.0,206.0
1618970422.0,206.0
1618971622.0,206.0
1618972821.0,206.0
1618974021.0,206.0
1618976421.0,206.0
1618977622.0,206.0
1618978821.0,206.0
1618980022.0,206.0
1618981222.0,206.0
1618982422.0,206.0
1618983622.0,206.0
1618984822.0,206.0
1618986022.0,206.0
1618987222.0,206.0
1618988423.0,206.0
1618989622.0,207.0
1618990822.0,207.0
1618992022.0,207.0
1618993222.0,207.0
1618994422.0,207.0
1618996822.0,207.0
1618998022.0,207.0
1618999222.0,207.0
1619000422.0,207.0
1619002823.0,207.0
1619004022.0,207.0
1619005222.0,207.0
1619006422.0,207.0
1619007622.0,207.0
1619007622.0,207.0
1619008822.0,207.0
1619008822.0,207.0
1619010022.0,207.0
1619010022.0,207.0
1619011223.0,207.0
1619011223.0,207.0
1619012422.0,207.0
1619012422.0,207.0
1619013622.0,207.0
1619013622.0,207.0
1619014822.0,207.0
1619014822.0,207.0
1619016022.0,207.0
1619016022.0,207.0
1619018427.0,207.0
1619018427.0,207.0
1619019622.0,207.0
1619019622.0,207.0
1619020823.0,207.0
1619020823.0,207.0
1619022022.0,207.0
1619022022.0,207.0
1619023222.0,207.0
1619023222.0,207.0
1619024422.0,207.0
1619024422.0,207.0
1619025622.0,207.0
1619025622.0,207.0
1619026822.0,207.0
1619026822.0,207.0
1619028022.0,207.0
1619028022.0,207.0
1619029223.0,207.0
1619029223.0,207.0
1619030422.0,207.0
1619030422.0,207.0
1619031623.0,207.0
1619031623.0,207.0
1619034023.0,207.0
1619034023.0,207.0
1619035223.0,207.0
1619035223.0,207.0
1619036423.0,207.0
1619036423.0,207.0
1619037623.0,207.0
1619037623.0,207.0
1619038824.0,207.0
1619038824.0,207.0
1619040023.0,207.0
1619040023.0,207.0
1619041223.0,207.0
1619041223.0,207.0
1619042423.0,207.0
1619042423.0,207.0
1619043624.0,207.0
1619043624.0,207.0
1619044823.0,207.0
1619044823.0,207.0
1619046024.0,207.0
1619046024.0,207.0
1619047224.0,207.0
1619047224.0,207.0
1619048424.0,207.0
1619048424.0,207.0
1619049623.0,208.0
1619049623.0,208.0
1619050823.0,208.0
1619050823.0,208.0
1619052023.0,208.0
1619052023.0,208.0
1619053223.0,208.0
1619053223.0,208.0
1619054424.0,208.0
1619054424.0,208.0
1619055623.0,208.0
1619055623.0,208.0
1619056823.0,208.0
1619056823.0,208.0
1619058023.0,208.0
1619058023.0,208.0
1619059223.0,208.0
1619059223.0,208.0
1619060423.0,208.0
1619060423.0,208.0
1619061623.0,208.0
1619061623.0,208.0
1619062824.0,208.0
1619062824.0,208.0
1619064023.0,208.0
1619064023.0,208.0
1619065223.0,208.0
1619065223.0,208.0
1619066423.0,208.0
1619066423.0,208.0
1619067623.0,208.0
1619067623.0,208.0
1619068823.0,208.0
1619068823.0,208.0
1619070024.0,208.0
1619070024.0,208.0
