time,value
1606391292.0,
1606405307.0,
1606405309.0,
1606755356.0,
1607011801.0,
1607012600.0,
1607013662.0,
1607013795.0,
1607014520.0,
1607016982.0,
1607017948.0,
1607343289.0,
1607343291.0,
1607343291.0,
1607343291.0,
1607598064.0,
1615476050.0,
1615476051.0,
1615541980.0,
1615541980.0,
1615805235.0,
1615805235.0,
1615807748.0,86.0
1615808948.0,86.0
1615809291.0,
1615809292.0,
1615812548.0,86.0
1615817348.0,86.0
1615818548.0,86.0
1615822149.0,85.0
1615823348.0,85.0
1615825748.0,84.0
1615828149.0,86.0
1615831749.0,83.0
1615832949.0,83.0
1615836549.0,83.0
1615837749.0,84.0
1615840149.0,86.0
1615841349.0,87.0
1615842549.0,87.0
1615843748.0,88.0
1615844949.0,88.0
1615846149.0,87.0
1615847349.0,87.0
1615848549.0,87.0
1615849749.0,87.0
1615850949.0,87.0
1615852149.0,86.0
1615853349.0,86.0
1615854549.0,86.0
1615856949.0,86.0
1615858149.0,85.0
1615859349.0,85.0
1615860549.0,85.0
1615861749.0,85.0
1615862950.0,85.0
1615864150.0,85.0
1615865350.0,85.0
1615867749.0,84.0
1615868950.0,84.0
1615870150.0,84.0
1615871350.0,84.0
1615872550.0,84.0
1615874950.0,84.0
1615876150.0,84.0
1615878550.0,83.0
1615879750.0,83.0
1615880950.0,83.0
1615883350.0,83.0
1615885750.0,83.0
1615889350.0,82.0
1615890550.0,82.0
1615891750.0,82.0
1615892950.0,81.0
1615894150.0,81.0
1615895350.0,81.0
1615898950.0,80.0
1615901350.0,79.0
1615902550.0,79.0
1615903751.0,79.0
1615904951.0,78.0
1615912151.0,77.0
1615914551.0,77.0
1615915751.0,76.0
1615918151.0,76.0
1615919351.0,76.0
1615920551.0,76.0
1615922950.0,75.0
1615924151.0,75.0
1615925351.0,75.0
1615927751.0,75.0
1615928951.0,75.0
1615930151.0,75.0
1615931351.0,75.0
1615933751.0,75.0
1615937351.0,74.0
1615938551.0,74.0
1615939751.0,74.0
1615940951.0,74.0
1615943351.0,74.0
1615946952.0,74.0
1615949352.0,74.0
1615950551.0,74.0
1615952951.0,74.0
1615956552.0,74.0
1615957752.0,75.0
1615961352.0,75.0
1615962551.0,75.0
1615963752.0,75.0
1615964952.0,75.0
1615966152.0,75.0
1615967352.0,75.0
1615970952.0,75.0
1615972152.0,75.0
1615978152.0,75.0
1615981752.0,75.0
1615982953.0,75.0
1615985353.0,75.0
1615986553.0,75.0
1615987753.0,75.0
1615988953.0,74.0
1615991353.0,74.0
1615992552.0,74.0
1615993753.0,74.0
1615994952.0,74.0
1615996153.0,74.0
1615997353.0,74.0
1615998553.0,74.0
1615999753.0,74.0
1616000953.0,74.0
